config,ngram_range,vocabulary_size,accuracy,f1_score,sparsity,processing_time,sample_features
unigrams_tfidf,"(1, 1)",5000,0.7744,0.7757455268389661,0.997962595,0.48154163360595703,"['00', '000', '00am', '04', '07']"
unigrams_bigrams_tfidf,"(1, 2)",5000,0.7815,0.7838131987731275,0.997458385,1.2449440956115723,"['00', '000', '09', '10', '10 minutes']"
unigrams_trigrams_tfidf,"(1, 3)",5000,0.782,0.7842865624381555,0.99742826,2.667346954345703,"['00', '000', '09', '10', '100']"
bigrams_trigrams_tfidf,"(2, 3)",5000,0.6938,0.7127040720585476,0.999187265,2.2989108562469482,"['10 minutes', '100 followers', '100 followers day', 'able to', 'about it']"
optimized_unigrams_bigrams,"(1, 2)",7500,0.7844,0.7861111111111112,0.9982003566666666,1.3320775032043457,"['00', '000', '09', '10', '10 minutes']"
