config,vocabulary_size,best_accuracy,best_f1,best_classifier,sparsity,processing_time
l1_normalized,5000,0.7715,0.7692618398465111,SVM_Linear,0.997458385,119.62290716171265
l2_normalized,5000,0.7815,0.7838131987731275,LogisticRegression,0.997458385,128.13746619224548
no_normalization,5000,0.7653,0.7696987538023747,LogisticRegression,0.997458385,11545.614107131958
strict_filtering,5000,0.7823,0.7843486874690442,LogisticRegression,0.997458375,134.22537851333618
expanded_vocab,15000,0.7888,0.7894736842105262,LogisticRegression,0.999011725,194.5584397315979
