ngram_type,ngram_range,vocabulary_size,accuracy,processing_time,sample_features
unigrams,"(1, 1)",5000,0.7657,0.9194273948669434,"['00', '000', '00am', '07', '08']"
unigrams_bigrams,"(1, 2)",5000,0.7746,1.7438747882843018,"['00', '000', '09', '10', '10 minutes']"
unigrams_trigrams,"(1, 3)",5000,0.773,3.014355182647705,"['00', '000', '09', '10', '10 minutes']"
bigrams_only,"(2, 2)",5000,0.6901,1.1384785175323486,"['10 minutes', '100 followers', '11 30', '15 minutes', '17 again']"
trigrams_only,"(3, 3)",5000,0.5874,1.547243356704712,"['000 contacts check', '100 000 contacts', '100 followers day', '140 ch tell', '30 in the']"
bigrams_trigrams,"(2, 3)",5000,0.6884,2.570298433303833,"['10 minutes', '100 followers', '100 followers day', '11 30', '30 minutes']"
