config,vocabulary_size,vectorization_time,matrix_sparsity,best_classifier,best_accuracy,best_f1_score,lr_accuracy,nb_accuracy,svm_accuracy,rf_accuracy
simple_tfidf,5000,0.38204336166381836,0.997962595,LogisticRegression,0.7753,0.7764846314532975,0.7753,0.7584,0.7751,0.753
binary_tfidf,5000,0.3741006851196289,0.997962225,SVM_Linear,0.7742,0.7752786624203821,0.774,0.7577,0.7742,0.7504
sublinear_tfidf,5000,0.32506680488586426,0.997962595,SVM_Linear,0.7747,0.7754857997010465,0.7744,0.7592,0.7747,0.7549
no_idf_tfidf,5000,0.31467700004577637,0.997962595,SVM_Linear,0.7758,0.7763814083383204,0.7741,0.7658,0.7758,0.7553
large_vocab_tfidf,10000,1.0337536334991455,0.998939215,LogisticRegression,0.7762,0.7770916334661354,0.7762,0.7591,0.7735,0.7575
