method,processing_time,avg_tokens_per_text,std_tokens_per_text,total_tokens,unique_tokens,empty_tokenizations,empty_pct,tokens_per_second,accuracy,vectorization_time,total_time,feature_count,efficiency_score
simple_split,0.0341,12.6773,6.9246,126773,21872,0,0.0,3718769.2399,0.7295,0.0791,0.206,5000,20.783475783475787
nltk_word,0.7946,15.2843,8.4473,152843,14588,0,0.0,192363.8413,0.7445,0.9047,1.0448,5000,0.9357717445952741
nltk_tweet,0.5894,14.7803,8.3598,147803,14360,0,0.0,250789.4537,0.741,0.6093,0.7296,5000,1.255081300813008
spacy,42.5842,15.263,8.3737,152630,14633,0,0.0,3584.1929,0.7425,39.6669,39.7915,5000,0.017435634915416623
custom_regex,0.0485,13.3544,7.2965,133544,14163,0,0.0,2754564.3509,0.742,0.0811,0.1755,5000,14.98989898989899
