method,vocabulary_size,vector_dimensions,training_time,vectorization_time,best_accuracy,best_f1,best_classifier
Word2Vec_skipgram_200d,15171,200,6.543173789978027,1.1588726043701172,0.7541,0.7550064760386571,LogisticRegression
FastText_fasttext_150d,10444,150,27.7141273021698,0.0,0.7536,0.7546305516829317,LogisticRegression
Word2Vec_skipgram_optimized,10444,150,10.534494161605835,1.1242992877960205,0.7512,0.7523392394983078,LogisticRegression
FastText_fasttext_100d,15171,100,11.026300191879272,0.0,0.7457,0.7473422752111277,LogisticRegression
Word2Vec_skipgram_100d,15171,100,5.202234983444214,1.0734350681304932,0.7418,0.743033439490446,LogisticRegression
Word2Vec_cbow_100d,15171,100,2.477783441543579,1.1780540943145752,0.7296,0.7298701298701299,LogisticRegression
