method,processing_time,avg_tokens_before,avg_tokens_after,reduction_pct,total_tokens_before,total_tokens_after,unique_tokens_after,empty_results,empty_pct,accuracy,f1_score,vectorization_time,total_time,feature_count,sparsity,accuracy_efficiency,f1_efficiency
no_removal,0.0029,68.654,68.654,16.8201,686540,686540,148,0,0.0,0.567,0.5626,0.1088,0.1397,69,0.7553,145.3846153846154,144.25641025641025
nltk_standard,0.0461,68.654,43.6512,16.8201,686540,436512,136,1,0.01,0.5495,0.5401,0.0715,0.096,57,0.8236,11.666666666666666,11.467091295116772
spacy_standard,0.0455,68.654,60.8313,16.8201,686540,608313,145,0,0.0,0.5745,0.5747,0.0993,0.1267,66,0.7722,12.35483870967742,12.359139784946237
custom_social_media,0.0493,68.654,61.1632,16.8201,686540,611632,143,0,0.0,0.5655,0.5653,0.0994,0.133,64,0.7748,11.242544731610339,11.238568588469185
sentiment_aware,0.0467,68.654,43.6512,16.8201,686540,436512,136,1,0.01,0.5495,0.5401,0.0662,0.0893,57,0.8236,11.519916142557651,11.322851153039833
hybrid_approach,0.0455,68.654,57.1063,16.8201,686540,571063,141,0,0.0,0.566,0.5625,0.0963,0.1308,62,0.7824,12.172043010752688,12.096774193548388
