,precision,recall,f1-score,support,model
Negative,0.8293320870435054,0.8428916666666667,0.8360569014969293,120000.0,Bidirectional LSTM
Positive,0.8402802487334587,0.8265416666666666,0.8333543383829473,120000.0,Bidirectional LSTM
accuracy,0.8347166666666667,0.8347166666666667,0.8347166666666667,0.8347166666666667,Bidirectional LSTM
macro avg,0.834806167888482,0.8347166666666667,0.8347056199399383,240000.0,Bidirectional LSTM
weighted avg,0.834806167888482,0.8347166666666667,0.8347056199399383,240000.0,Bidirectional LSTM
